"id";"user_id";"reviewer_id";"title";"category";"aircraft_model";"registration_number";"拍摄时间";"拍摄地点";"filename";"approved";"rejection_reason";"admin_comment";"created_at";"views";"likes";"allow_use";"watermark_size";"watermark_opacity";"watermark_position";"actual_watermark_size";"is_featured";"original_width";"original_height";"final_width";"final_height";"shooting_time";"shooting_location";"Cam";"Lens";"FocalLength";"ISO";"F";"Shutter"
1937;93715;427;"国航在金光之下滑行等待起飞";"中国国际航空";"A330-243";"B-6131";"2026-01-09 11:54:00";"CAN";"696321d1b1724_synthesis_621420d6-a0ba-42d4-81de-3f004802d915_image_save_local1767442438228.jpg";1;"";"";"2026-01-11 11:06:41";11;0;1;15;80;"top-left";0;0;3312;2160;3312;2160;"2026-01-11 04:06:41";"";"";"";0;0;0.0;""
1938;427;429;"飞机";"成都航空";"C909";"B-603P";"2026-01-11 12:20:00";"ctu";"696324f8dd9ed_IMG_2850.jpeg";1;"";"";"2026-01-11 11:20:08";9;0;1;15;80;"bottom-right";0;0;1920;1080;1920;1080;"2026-01-11 04:20:08";"";"";"";0;0;0.0;""
1939;93715;429;"成都航空";"成都航空";"A321-251NEO ACF";"B32G5";"2026-01-10 13:01:00";"CAN";"696331e06f0e8_PSX_20260110_131356.jpg";2;"不招";"";"2026-01-11 12:15:12";1;0;1;16;100;"middle-left";0;0;5250;3500;5250;3500;"2026-01-11 05:15:12";"";"";"";0;0;0.0;""
1940;93715;429;"成都航空";"成都航空";"A320-251N NEO ACF";"B32G5";"2026-01-10 13:49:00";"CAN";"69633c36b6ef9_PSX_20260110_131356.jpg";1;"";"";"2026-01-11 12:59:19";8;0;1;10;85;"top-left";0;0;5250;3500;5250;3500;"2026-01-11 05:59:19";"";"";"";0;0;0.0;""
1941;93715;429;"中华航空747货机";"中华航空";"747-400";"B-18721";"2024-06-02 14:00:00";"CAN";"69633c9e8a076_PSX_20260111_132624.jpg";1;"";"";"2026-01-11 13:01:02";6;0;1;15;80;"top-left";0;0;5504;3096;5504;3096;"2026-01-11 06:01:02";"";"";"";0;0;0.0;""
1942;93715;424;"南航飞机凌月";"中国南方航空";"777-31b";"B-2048";"2026-01-10 12:08:00";"CAN";"69635c9d2ab87_PSX_20260111_161524.jpg";2;"机身过曝
黑边
如果有意";"";"2026-01-11 15:17:33";1;0;1;21;85;"top-left";0;0;4449;2495;4449;2495;"2026-01-11 08:17:33";"";"";"";0;0;0.0;""
1943;93715;429;"重庆航空";"重庆航空";"A321 neo";"B-30E3";"2026-01-10 16:19:00";"CAN";"69635f16d1e59_PSX_20260111_162523.jpg";1;"加点锐度";"";"2026-01-11 15:28:07";6;0;1;15;80;"top-left";0;0;4280;2408;4280;2408;"2026-01-11 08:28:07";"";"";"";0;0;0.0;""
1944;93721;429;"星空联盟";"中国国际航空";"B737-89L(WL)";"B-5497";"2026-01-11 16:52:00";"中国";"69636513c6ef9__DSC3035副本_2.jpeg";2;"机场请使用三位码";"";"2026-01-11 15:53:39";6;1;1;8;45;"top-left";0;0;3776;2517;3776;2517;"2026-01-11 08:53:39";"";"";"";0;0;0.0;""
1945;93722;424;"大韩新涂";"大韩航空";"Boeing 737-800";"HL8248";"2026-01-11 19:44:00";"SHE";"696370c09d72f_IMG_045201.jpg";2;"杂色";"";"2026-01-11 16:43:30";1;0;1;20;80;"bottom-right";0;0;6960;4640;3744;2496;"2026-01-11 09:43:30";"";"";"";0;0;0.0;""
1946;93722;429;"东航332";"中国东方航空";"Airbus 330-200";"B-8231";"2026-01-11 19:54:00";"SHE";"696372fd2efc5_IMG_98631.jpg";2;"前景";"";"2026-01-11 16:53:01";1;0;1;15;80;"top-left";0;0;6960;4640;6960;4640;"2026-01-11 09:53:01";"";"";"";0;0;0.0;""
1947;93715;429;"南航";"中国南方航空";"777-31B";"B-7185";"2026-01-10 09:35:00";"CAN";"69637d1b17e78_synthesis_463c04a4-dd91-4078-8594-a74f50fab856_image_save_local1767970665854.jpg";1;"";"";"2026-01-11 17:36:11";7;0;1;15;80;"top-left";0;0;3466;2160;3466;2160;"2026-01-11 10:36:11";"";"";"";0;0;0.0;""
1948;93715;429;"海南航空";"中国海南航空";"787-9";"B-7837";"2026-01-09 18:27:00";"CAN";"69637d8a78274_synthesis_49dd0d47-e5d9-479b-b930-b72079d183cf_image_save_local1767442439736.jpg";2;"加对比度";"";"2026-01-11 17:38:02";1;0;1;15;10;"top-left";0;0;3394;2160;3394;2160;"2026-01-11 10:38:02";"";"";"";0;0;0.0;""
1949;93715;429;"海航";"中国海南航空";"787-9";"B-7837";"2026-01-10 16:00:00";"CAN";"696382eca1bd7_PSX_20260111_185922.jpg";1;"";"";"2026-01-11 18:01:00";8;0;1;15;80;"top-left";0;0;3392;2159;3392;2159;"2026-01-11 11:01:00";"";"";"";0;0;0.0;""
1950;424;427;"借来的飞机";"Garuda";"a330";"t7mmm";"2026-01-11 18:43:00";"cgk";"69638cee85452_9d84879839eac5555325fa7a386ee6b3.jpeg";2;"光晕
竟然是腐竹畏惧了";"";"2026-01-11 18:43:44";0;0;1;15;80;"top-left";0;0;6404;4269;4771;3180;"2026-01-11 11:43:44";"";"";"";0;0;0.0;""
1951;431;427;"pkx";"厦门航空";"Boeing737-800";"B-5845";"2026-01-11 20:52:00";"PKX";"69639e28e0826_30c00a555bbef63a7fe4dee3c96c4b2e.jpg";1;"";"";"2026-01-11 19:57:12";5;0;1;15;80;"top-left";0;0;1280;853;1280;853;"2026-01-11 12:57:12";"";"";"";0;0;0.0;""
1952;427;429;"飞机";"四川航空";"A350-900";"B-32F8";"2026-01-11 22:39:00";"ctu";"6963b64ce916c_IMG_2866.jpeg";1;"";"";"2026-01-11 21:40:13";11;1;1;15;80;"bottom-right";0;0;1920;1080;1920;1080;"2026-01-11 14:40:13";"";"";"";0;0;0.0;""
1953;93725;424;"B-2099";"中国南方航空";"Boeing777-300ER";"B-2099";"2026-01-08 14:16:00";"广州白云国际机场";"6964923cde13a_DSC02728.jpg";2;"白云机场用can";"";"2026-01-12 13:18:37";0;0;1;5;80;"top-right";0;0;4966;2793;4966;2793;"2026-01-12 06:18:37";"";"";"";0;0;0.0;""
1954;93725;424;"C919";"中国南方航空";"COMAC C919";"B-658Y";"2026-01-08 14:22:00";"广州白云国际机场";"696493672295a_DSC02652.jpg";2;"麻烦您在机场那栏使用三位编码后上传。";"";"2026-01-12 13:23:35";0;0;1;7;70;"top-right";0;0;3061;1722;3061;1722;"2026-01-12 06:23:35";"";"";"";0;0;0.0;""
1955;93725;424;" B-2813";"中国邮政航空";"Boeing757-200";"B-2813";"2026-01-08 17:05:00";"广州白云国际机场";"6964b987afd09_DSC02607.jpg";2;"哈哈";"";"2026-01-12 16:06:15";0;0;1;5;80;"top-right";0;0;3899;2193;3899;2193;"2026-01-12 09:06:15";"";"";"";0;0;0.0;""
1956;93725;424;"B-2099";"中国南方航空";"Boeing777-300ER";"B-2099";"2026-01-08 17:07:00";"CAN";"6964ba2589d8c_DSC02728.jpg";2;"哈哈哈";"";"2026-01-12 16:08:53";4;0;1;5;80;"top-right";0;0;4966;2793;4966;2793;"2026-01-12 09:08:53";"";"";"";0;0;0.0;""
1957;93725;424;"警";"广州市政府飞行队";"H145";"44011";"2026-01-08 18:56:00";"N/A";"6964d3cb5bf2a_文档.jpg";1;"";"";"2026-01-12 17:58:19";9;0;1;5;80;"top-left";0;0;4802;2701;4802;2701;"2026-01-12 10:58:19";"";"";"";0;0;0.0;""
1958;93725;424;"C919";"中国南方航空";"COMAC C919";"B-658Y";"2026-01-08 19:00:00";"CAN";"6964d438a5186_DSC02652.jpg";2;"不好意思没仔细看 哭";"";"2026-01-12 18:00:08";2;0;1;8;80;"top-right";0;0;3061;1722;3061;1722;"2026-01-12 11:00:08";"";"";"";0;0;0.0;""
1960;93725;424;"B-2813";"中国邮政航空";"Boeing757-200";"B-2813";"2026-01-08 19:04:00";"CAN";"6964d559ba556_DSC02607.jpg";1;"";"";"2026-01-12 18:04:57";6;0;1;6;80;"top-right";0;0;3899;2193;3899;2193;"2026-01-12 11:04:57";"";"";"";0;0;0.0;""
1961;93725;424;"C919";"中国南方航空";"COMAC C919";"B-658Y";"2026-01-08 19:14:00";"CAN";"6964d78f5a620_97654.jpg";1;"";"";"2026-01-12 18:14:23";7;0;1;7;80;"top-right";0;0;3701;2082;3701;2082;"2026-01-12 11:14:23";"";"";"";0;0;0.0;""
1962;93725;424;"777";"中国南方航空";"Boeing777-300ER";"B-2099";"2026-01-08 19:18:00";"CAN";"6964d8b1d4d4e_【【.jpg";1;"";"";"2026-01-12 18:19:14";8;0;1;5;80;"top-right";0;0;5106;2872;5106;2872;"2026-01-12 11:19:14";"";"";"";0;0;0.0;""
1963;93684;93684;"禁止裸奔";"国泰航空";"A350-900";"B-LRJ";"2026-01-01 11:35:00";"厦门高崎国际机场";"6964eabd37cc0_mmexport1767255167770.jpg";2;"很好的图，但是请把机场改成三位码";"";"2026-01-12 19:36:13";2;0;1;15;80;"top-left";0;0;1821;2714;1821;2714;"2026-01-12 12:36:13";"";"";"";0;0;0.0;""
1964;93725;427;"B-LAF";"国泰航空";"A330-342";"B-LAF";"2026-01-08 20:39:00";"CAN";"6964ec0555a60_DSC02553.jpg";1;"";"";"2026-01-12 19:41:41";9;0;1;5;80;"top-right";0;0;4375;2461;4375;2461;"2026-01-12 12:41:41";"";"";"";0;0;0.0;""
1965;93725;429;"9M-AGB";"亚洲航空";"空客A320-251N";"9M-AGB";"2026-01-08 21:07:00";"CAN";"6964f256679ec_【【_1.jpg";2;"锐化不佳
构图不佳";"";"2026-01-12 20:08:38";0;0;1;6;80;"top-right";0;0;3895;2191;3895;2191;"2026-01-12 13:08:38";"";"";"";0;0;0.0;""
1966;93725;427;"9V-OFK";"新加坡航空";"Boeing 787-8 Dreamliner";"9V-OFK";"2026-01-08 21:21:00";"CAN";"6964f5ca16edb_【【_2.jpg";1;"";"";"2026-01-12 20:23:22";7;0;1;6;80;"top-right";0;0;3923;2207;3923;2207;"2026-01-12 13:23:22";"";"";"";0;0;0.0;""
1967;93725;427;"B-20DY";"厦门航空";"Boeing 737 MAX 8";"B-20DY";"2026-01-08 21:29:00";"CAN";"6964f7e6075bb_【.jpg";2;"裁切问题";"飞机在图片里太小";"2026-01-12 20:32:22";1;0;1;5;80;"top-left";0;0;4069;2289;4069;2289;"2026-01-12 13:32:22";"";"";"";0;0;0.0;""
