"id";"user_id";"reviewer_id";"title";"category";"aircraft_model";"registration_number";"拍摄时间";"拍摄地点";"filename";"approved";"rejection_reason";"admin_comment";"created_at";"views";"likes";"allow_use";"watermark_size";"watermark_opacity";"watermark_position";"actual_watermark_size";"is_featured";"original_width";"original_height";"final_width";"final_height";"shooting_time";"shooting_location";"Cam";"Lens";"FocalLength";"ISO";"F";"Shutter"
1863;424;426;"雨中复古";"GARUDA INDONESIA";"B737-800";"PK-GFM";"2026-01-09 16:21:00";"雅加达苏加诺哈达国际机场";"6960ba8bdcaf9_IMG_1002.jpg";1;"";"";"2026-01-09 15:21:32";7;0;1;15;80;"top-left";0;0;5900;3319;3698;2080;"2026-01-09 08:21:32";"";"";"";0;0;0.0;""
1864;424;426;"雨中新航";"SINGAPORE AIRLINES";"airbus a350-900";"9V-SMP";"2026-01-09 16:22:00";"雅加达苏加诺哈达国际机场";"6960bab614eef_IMG_0980.jpg";1;"";"";"2026-01-09 15:22:15";4;0;1;15;80;"top-left";0;0;6213;3495;3581;2014;"2026-01-09 08:22:15";"";"";"";0;0;0.0;""
1865;424;426;"雨中330neo";"GARUDA INDONESIA";"airbus a330-900";"PK-GHE";"2026-01-09 16:22:00";"雅加达苏加诺哈达国际机场";"6960badea0006_IMG_0956.jpg";1;"";"";"2026-01-09 15:22:55";7;0;1;15;80;"top-left";0;0;6142;3455;3765;2118;"2026-01-09 08:22:55";"";"";"";0;0;0.0;""
1866;424;426;"雨中sky team";"GARUDA INDONESIA";"777W";"PK-GII";"2026-01-09 16:24:00";"雅加达苏加诺哈达国际机场";"6960bb556f114_IMG_0849.jpg";1;"";"";"2026-01-09 15:24:54";5;1;1;15;80;"top-left";0;0;6097;3430;3890;2188;"2026-01-09 08:24:54";"";"";"";0;0;0.0;""
1867;424;424;"印尼解放80周年";"GARUDA INDONESIA";"B737-800";"PK-GFU";"2026-01-09 16:25:00";"雅加达苏加诺哈达国际机场";"6960bb9538834_IMG_1838.jpg";2;"暴力修图露馅了啊";"";"2026-01-09 15:25:58";2;0;1;15;80;"top-left";0;0;5888;3312;3709;2086;"2026-01-09 08:25:58";"";"";"";0;0;0.0;""
1868;427;424;"飞机";"四川航空";"A350-900";"B-32G6";"2026-01-09 19:22:00";"ctu";"6960e5037bb7e_1000026743.jpg";1;"";"";"2026-01-09 18:22:43";16;0;1;15;80;"bottom-center";0;1;1280;853;1280;853;"2026-01-09 11:22:43";"";"";"";0;0;0.0;""
1869;428;426;"雪地光";"国泰航空公司";"A330-300";"B-LBE";"2025-12-29 08:29:00";"青岛胶东国际机场";"6960e680e8d99_mmexport1767366120477.jpg";2;"颜色不佳
过度处理";"";"2026-01-09 18:29:05";7;0;1;21;60;"bottom-right";0;0;3563;2375;3563;2375;"2026-01-09 11:29:05";"";"";"";0;0;0.0;""
1870;425;427;"20548";"中国人民解放军空军";"Y-20U";"20548";"2026-01-09 10:03:00";"长春大身房机场";"69610ad980f60_IMG_20251231_193452.jpg";1;"";"";"2026-01-09 21:04:09";20;1;1;28;100;"top-left";0;1;1920;1280;1920;1280;"2026-01-09 14:04:09";"";"";"";0;0;0.0;""
1871;431;429;"航空";"首都航空";"A330-300";"B-8678";"2026-01-09 22:09:00";"PKX";"69610c0b1f3dc_IMG_7519.jpeg";1;"";"";"2026-01-09 21:09:15";13;2;1;44;80;"top-left";0;1;1280;853;1280;853;"2026-01-09 14:09:15";"";"";"";0;0;0.0;""
1872;431;429;"744";"中国国际航空";"B747-4J6";"B-2472";"2026-01-09 22:14:00";"PEK";"69610d44ae5a1_IMG_6961.jpeg";1;"";"";"2026-01-09 21:14:28";21;0;1;43;80;"top-left";0;1;3553;2369;3553;2369;"2026-01-09 14:14:28";"";"";"";0;0;0.0;""
1874;427;426;"飞机";"深圳航空";"B737-800";"B-1993";"2026-01-09 22:50:00";"ctu";"696115d067ecb_1e9c41e14b49b5b780881ca36940193b.jpeg";1;"";"";"2026-01-09 21:50:56";5;0;1;15;80;"bottom-right";0;0;1280;721;1280;721;"2026-01-09 14:50:56";"";"";"";0;0;0.0;""
1875;427;426;"飞机";"中国东方航空";"B737-800";"B-6146";"2026-01-09 22:51:00";"ctu";"696115fe9cfe3_4b005c9749e19edf726054c01abc3748.jpeg";1;"";"";"2026-01-09 21:51:42";11;0;1;15;80;"bottom-right";0;0;1280;720;1280;720;"2026-01-09 14:51:42";"";"";"";0;0;0.0;""
1876;426;427;"1";"中国东方航空";"A319";"B-8390";"2026-01-09 23:53:00";"青岛胶东国际机场";"6961178060868_IMG_8752 拷贝.jpg";1;"";"";"2026-01-09 21:58:08";12;0;1;5;80;"top-left";0;0;3735;2101;3735;2101;"2026-01-09 14:58:08";"";"";"";0;0;0.0;""
1877;428;427;"熊猫";"四川航空";"A350-941";"B-304V";"2025-12-10 11:57:00";"青岛胶东国际机场";"6961178ecfa48_mmexport1767372910458.jpg";1;"";"";"2026-01-09 21:58:23";15;0;1;19;50;"bottom-right";0;0;4647;3098;4647;3098;"2026-01-09 14:58:23";"";"";"";0;0;0.0;""
1878;428;427;"大韩";"大韩航空";"B777-300ER";"HL7783";"2025-12-13 11:59:00";"青岛胶东国际机场";"696117e385457_mmexport1767372906401.jpg";2;"噪点";"";"2026-01-09 21:59:47";0;0;1;18;45;"bottom-right";0;0;4894;3263;4894;3263;"2026-01-09 14:59:47";"";"";"";0;0;0.0;""
1879;428;427;"山航";"山东航空公司";"B737-800";"B-5755";"2025-12-11 11:08:00";"青岛胶东国际机场";"6961181bcbbaf_mmexport1767370354065.jpg";2;"紫边太严重";"";"2026-01-09 22:00:44";0;0;1;19;50;"bottom-right";0;0;4424;2949;4424;2949;"2026-01-09 15:00:44";"";"";"";0;0;0.0;""
1880;428;426;"国泰雪地光";"国泰航空";"A330-300";"B-LBE";"2025-12-09 11:37:00";"青岛胶东国际机场";"696120cda1f5f_mmexport1767366121752.jpg";2;"对比度：偏低
过度处理
偏上
颜色不佳";"过度处理：别动纹理清晰度什么的
颜色太黄了，调一下色温用蓝色中和黄色";"2026-01-09 22:37:49";0;0;1;18;95;"bottom-right";0;0;3844;2563;3844;2563;"2026-01-09 15:37:49";"";"";"";0;0;0.0;""
1881;428;426;"起飞拉烟";"四川航空";"A350-941";"B-304V";"2025-12-09 11:38:00";"青岛胶东国际机场";"696120fad7c5a_mmexport1767261148206.jpg";2;"对比度不适宜
裁切";"";"2026-01-09 22:38:34";0;0;1;19;50;"bottom-right";0;0;2880;1920;2880;1920;"2026-01-09 15:38:34";"";"";"";0;0;0.0;""
1882;424;426;"印尼解放80周年";"GARUDA INDONESIA";"B737-800";"PK-GFU";"2026-01-10 08:24:00";"CGK";"69619c5693f10_IMG_1838.jpg";1;"";"";"2026-01-10 07:24:55";9;1;1;15;80;"top-left";0;0;6051;3404;3644;2050;"2026-01-10 00:24:55";"";"";"";0;0;0.0;""
1883;93684;426;"国泰港龙";"国泰港龙航空";"A330-300";"B-HYG";"2024-04-10 12:54:00";"厦门高崎";"6961dba63be95_IMG_20251205_215712 (1).jpg";1;"";"";"2026-01-10 11:55:02";9;0;1;15;80;"top-left";0;0;4007;2255;4007;2255;"2026-01-10 04:55:02";"";"";"";0;0;0.0;""
1884;93690;427;"饺飞";"中国民航局";"Cessna560";"B-603Y";"2026-01-10 11:36:00";"揭阳潮汕国际机场";"6961e3c54e27b_1000087994.jpg";2;"对比度偏低";"";"2026-01-10 12:29:41";0;0;1;10;30;"bottom-left";0;0;3637;2273;3637;2273;"2026-01-10 05:29:41";"";"";"";0;0;0.0;""
